Etapa,Total de Pastas,Pastas com Arquivo,Diferença,Pastas Vazias,Pastas c/ Arquivos,Últ. Atualização
Amil,83,81,2,"DIGISYSTEM ,METAL_WORKS","ACTOS ,AGROTIN ,ALMADA_PARTICIPACOES_STYLOS ,ALVENIUS ,ARBAIT ,ARC_ENGENHARIA ,ARTENAFEX ,ASTORIA ,AULIK_LENOXX ,AUT_SISTEMAS ,BRASAL ,BRAVO_PROJETOS ,CADMUS ,CARVALIMA ,CHACARA_FLORA ,CHEMAX ,CLESS ,CLF_PLASTICOS ,CLUBE_ESPERIA ,CLUBE_PAINEIRAS ,CNAGA ,CONSELHO_FEDERAL_DA_OAB ,CONSORCIO_STP ,CROMASTER ,DANFAB_PECAS ,DISAL ,E-LAW ,EDAG ,ENGBRAS ,ENGEMATEX ,FREIOS_FARJ ,FUNDACAO_LICEU_PASTEUR ,GENCO ,GLOBALWEB_GWO ,GO_FURTHER ,GRUPO_MEMORIAL ,HOTEL_NACIONAL_INN_JARAGUA_LTDA ,INPLAFER ,JMC ,KASLO ,KRJ ,LAKATOS ,LOCCUS ,MARCYN ,MAXXIMED_COMERCIO ,MUSICAL_EXPRESS ,NEGRAO_FERRARI ,NEOQUIM ,NOVA_ALIANCA ,OP_TELECOM ,PLANSERVI ,PLUS_CARGO ,PRESMAK ,PRF ,RESERVA_NOVOS_PARQUES ,RICARDO_ALMEIDA ,RODL ,RSM ,SALA_DE_SOM ,SANTEC ,SAO_RAFAEL ,SARSTEDT ,SCHWING ,SEE_SAW ,SHOEBIZ ,SINAFRESP ,SUMUS ,TCT_BRASIL ,TECMASTER ,TECNOGEO_GROUND ,TEKLA ,TETRALON ,TILKIAN ,TIVOLITUR ,TSL ,URBE ,VALVUGAS ,VITAE ,VITAT ,VOITEL ,VSOL",16/06/2025
Bradesco,2,2,0,Nenhuma,"CNA ,MPD",17/06/2025
Seguros Unimed,1,1,0,Nenhuma,FCTH_BIZETTA,16/06/2025
Bradesco (Manual) - Produção Manual,6,6,0,Nenhuma,"ASTORIA ,BRUKER ,ENERGIS8 ,FRAGON ,NINECON ,RD_ADS",11/06/2025
SulAmérica,7,2,5,"CARLSONS_PRODUTO ,HOTEL_UNIQUE ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING","BBP ,ONCOMED",16/06/2025
Unimed Nacional,1,1,0,Nenhuma,GUINDASTES_TATUAPE,17/06/2025
Porto Seguro,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,Sem arquivos
Omint,1,0,1,SIMOES_PIRES,Nenhuma,Sem arquivos
Omint (manual),4,4,0,Nenhuma,"ADVANTECH_BRASIL ,BRAVO_PROJETOS ,CARLSONS_PRODUTO ,NEGRAO_FERRARI",18/06/2025
Hapvida,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Plena Saúde,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
